Month,mzl
2010/1/1,244287
2010/2/1,180526
2010/3/1,283388
2010/4/1,265239
2010/5/1,253611
2010/6/1,249205
2010/7/1,273501
2010/8/1,279687
2010/9/1,256758
2010/10/1,230933
2010/11/1,269439
2010/12/1,284605
2011/1/1,265421
2011/2/1,174513
2011/3/1,301699
2011/4/1,271274
2011/5/1,278485
2011/6/1,276495
2011/7/1,285511
2011/8/1,298179
2011/9/1,282226
2011/10/1,252141
2011/11/1,295921
2011/12/1,318642
2012/1/1,222388
2012/2/1,271471
2012/3/1,338400
2012/4/1,281445
2012/5/1,327056
2012/6/1,298214
2012/7/1,318141
2012/8/1,321643
2012/9/1,300231
2012/10/1,279320
2012/11/1,305477
2012/12/1,314584
2013/1/1,323049
2013/2/1,206730
2013/3/1,315792
2013/4/1,307177
2013/5/1,329034
2013/6/1,295881
2013/7/1,343349
2013/8/1,325659
2013/9/1,315717
2013/10/1,297280
2013/11/1,312501
2013/12/1,339468
2014/1/1,322390
2014/2/1,223613
2014/3/1,336013
2014/4/1,332493
2014/5/1,321430
2014/6/1,323434
2014/7/1,348359
2014/8/1,321237
2014/9/1,336667
2014/10/1,301939
2014/11/1,307227
2014/12/1,349247
2015/1/1,320263
2015/2/1,225742
2015/3/1,322910
2015/4/1,322327
2015/5/1,300128
2015/6/1,326856
2015/7/1,331268
2015/8/1,314372
2015/9/1,315672
2015/10/1,282953
2015/11/1,315291
2015/12/1,347714
2016/1/1,304594
2016/2/1,228979
2016/3/1,360648
2016/4/1,325508
2016/5/1,334967
2016/6/1,328047
2016/7/1,330918
2016/8/1,346998
2016/9/1,332031
2016/10/1,290664
2016/11/1,338072
2016/12/1,358839
2017/1/1,296834
2017/2/1,270462
2017/3/1,368382
2017/4/1,314890
2017/5/1,329478
2017/6/1,358230
2017/7/1,335412
2017/8/1,331965
2017/9/1,317555
2017/10/1,271484
2017/11/1,312094
2017/12/1,307346
